"ID","Vereda","Nombre","Este","Norte","msnm","Altura_m_","OFFSETA","longitude","latitude","Azimuth_Farallon_Montenegro","Azimuth_Farallon_La_Pintada"
24,"San Isidro","La Puntuda",1151377,1121703,1350,2.7,1352.7,-75.7110926000425,5.69513591316743,75.8580829567191,89.1602077337393
25,"San Isidro","La Ermita",1152079,1120257,1380,0,0,-75.7047881733251,5.68204874150215,67.2687834056408,81.2099709074955
26,"San Isidro","El Patudo",1152367,1120670,1323,2,1325,-75.7021802262114,5.68577615361838,68.8001283453055,83.2592648980592
27,"San Isidro","Manantiales 1",1152757,1121182,1246,1.8,1247.8,-75.6986495911376,5.69039632219126,70.8187136075383,85.9795920174869
28,"San Isidro","Manantiales 2",1152919,1121248,1227,1.1,1228.1,-75.6971861652902,5.69098947567288,70.8762040360812,86.3055504350865
29,"San Isidro","Acapulco 2",1149822,1122013,1190,1.8,1191.8,-75.7251196994322,5.69797149950416,79.0520178691589,90.6676520086589
30,"San Isidro","Acapulco 1",1152598,1122047,1800,2,1802,-75.7000658959187,5.69821949836752,76.0822002192758,91.0508700278136
31,"San Isidro","Frudelca 1",1152985,1121734,1212,1,1213,-75.6965800455103,5.6953815662275,73.6079661011106,89.2056127977446
32,"San Isidro","Frudelca 2",1153218,1121731,1169,1.2,1170.2,-75.6944773374157,5.69534940287344,73.1714958477309,89.1671429375045
33,"San Isidro","Frudelca 3",1153628,1121944,1178,3.6,1181.6,-75.6907725649743,5.69726605909219,73.7495384670836,90.5058631714171
34,"San Isidro","Frudelca 4",1153772,1122082,1076,4.8,1080.8,-75.6894699997801,5.69851046697961,74.3850842889526,91.4208414833764
35,"San Isidro","Frudelca 5",1153982,1122250,1148,1.8,1149.8,-75.6875711387615,5.70002463664507,75.1331794319092,92.5854883136799
36,"San Isidro","Frudelca 6",1154075,1122492,1051,5,1056,-75.6867265633649,5.70221031830161,76.6503337818527,94.2555905738373
37,"San Isidro","Frudelca 7",1155207,1122843,1046,1.6,1047.6,-75.67650275652,5.70535860883069,77.3418831030394,97.6337823841117
38,"San Isidro","El Indio",1153693,1121321,1183,3.5,1186.5,-75.6901994644698,5.69163264411069,69.6622510083044,86.4566160119973
39,"El Encanto","El Encanto",1152904,1119156,1296,3.4,1299.4,-75.6973665671368,5.67207777661422,59.8301492712403,74.2165187606216
40,"El Encanto","Las Máscaras",1153195,1119334,1252,6,1258,-75.6947366292846,5.67368065434701,59.8785070873534,74.7667446798974
41,"El Rayo","La Clara",1153559,1120238,1180,2.4,1182.4,-75.69143220792,5.68184508109565,63.6166122522312,79.6733078948732
42,"El Rayo","La Máscara",1153480,1120249,1182,8.7,1190.7,-75.6921449097954,5.68194623307287,63.893415300008,79.8291051447989
43,"El Rayo","Piedra de Amolar",1153635,1120138,1176,0.8,1176.8,-75.6907485049896,5.6809394209509,62.8479293263415,78.9629973298677
44,"El Rayo","El Paridero",1153432,1119883,1199,3.5,1202.5,-75.6925859921779,5.67863857840895,62.0336847012005,77.6560887737743
45,"El Rayo","El Triángulo 1",1153303,1119533,1222,1.1,1223.1,-75.6937577010502,5.67547731391331,60.5722054500527,75.7560245808744
46,"El Rayo","El Triángulo 2",1153304,1119550,1218,3,1221,-75.6937483100942,5.67563097490284,60.656433284192,75.8541833061817
47,"El Rayo","Los Naranjos",1153682,1119365,1201,2.2,1203.2,-75.6903410634885,5.67395037566265,58.5773184498638,74.1586376609523
48,"El Rayo","Las Baticas",1153701,1119432,1196,1.8,1197.8,-75.6901681516294,5.67455565371208,58.8634689648737,74.5307175529003
49,"El Rayo","El Pirú",1154118,1119083,1160,11,1171,-75.6864125270065,5.67139161069661,55.7045691808424,71.6314412314636
50,"El Rayo","Rayo Alto 1",1154719,1119621,990,2.5,992.5,-75.6809771862005,5.67624212243146,56.4278094987991,73.9098418366804
51,"El Rayo","Rayo Alto 2",1154118,1119605,1065,0,1065,-75.6864012173402,5.67611055563056,58.4418320620456,74.9011048054898
52,"El Rayo","Rayo Alto 3",1154148,1119766,1163,4.5,1167.5,-75.6861269932737,5.67756536388162,59.2228232786457,75.8833213313901
53,"El Rayo","La Mira",1154570,1120330,1088,14,1102,-75.6823064035834,5.68265480449834,61.0910662011042,79.0372926543593
54,"El Rayo","La Virgen 1",1154311,1120411,1110,2.3,1112.3,-75.6846419973248,5.68339269572106,62.4150136697687,79.9224819082649
55,"El Rayo","La Virgen 2",1154302,1120420,1109,1.5,1110.5,-75.6847230226928,5.68347425266212,62.4970685397164,79.9942402673499
56,"El Rayo","La Virgen 3",1154347,1120411,1116,6.5,1122.5,-75.684317113619,5.68339191197821,62.3022429974582,79.8791372341313
57,"El Rayo","Villa Nueva",1154489,1121124,990,0,990,-75.683020107612,5.68983441529621,66.3618175023863,84.7069519439264
58,"El Rayo","La Máscara",1154862,1120783,1050,1.8,1051.8,-75.679661361643,5.68674359537275,62.9723214296906,81.9302830557597
59,"El Rayo","El Mestizo",1154987,1120700,1043,1,1044,-75.678535101799,5.68599053445573,62.0054715490701,81.1798150367521
60,"El Rayo","La Azulita",1155162,1120898,1042,7.4,1049.4,-75.6769514744048,5.68777664101349,62.718275802636,82.487167157233
61,"El Rayo","El Mirador 1",1155282,1120798,1019,1.5,1020.5,-75.6758707125366,5.68687000345078,61.6099788333938,81.5866450757436
62,"El Rayo","El Mirador 2",1155286,1120814,1015,5,1020,-75.6758342641559,5.68701455704518,61.7043179624793,81.7064378608707
63,"El Rayo","Los Escudos 1",1154945,1120104,1088,2.3,1090.3,-75.6789271379715,5.68060355790778,58.4033196265237,76.8759175361211
64,"El Rayo","Los Escudos 2",1154990,1120079,1086,1.6,1087.6,-75.6785215816655,5.68037657236861,58.0842491099144,76.6199323782402
65,"El Rayo","Mala Cara",1154978,1120116,1074,2.7,1076.7,-75.6786290683016,5.68071131799574,58.3535402009268,76.9073268140592
66,"El Rayo","La Danza",1154988,1120160,1074,2.8,1076.8,-75.678537863559,5.68110886350703,58.5840971703749,77.2089408427182
67,"El Rayo","Las Espirales",1155071,1120344,1015,0.8,1015.8,-75.6777848140304,5.68277042536243,59.4178119390193,78.4257017222962
68,"El Rayo","La Alta",1155137,1120349,1054,6.3,1060.3,-75.6771890871041,5.68281418187654,59.203618267992,78.3628468734315
69,"El Rayo","El Rayo 2",1155286,1120376,990,1.5,991.5,-75.6758438450928,5.68305500202217,58.8076706459066,78.3359600057372
70,"El Rayo","Las Baticas",1155289,1120397,1033,2.1,1035.1,-75.6758163123527,5.68324477799842,58.9313471674728,78.4913297107699
71,"El Rayo","Los Cuadros",1155409,1120376,977,1.8,978.8,-75.6747338307862,5.68305230673051,58.3253372902049,78.1406267820968
72,"El Rayo","La Batica",1155317,1120499,990,2.8,992.8,-75.6755613949504,5.68416625267982,59.4857068533856,79.2303005945772
73,"El Rayo","El Rayo 1",1155440,1120499,961,2.5,963.5,-75.6744513786502,5.68416355632004,60.3272768028063,80.5958837503071
74,"El Rayo","La Palestina 1",1155594,1120696,907,3,3,-75.6730572851089,5.68594107100498,59.9430663823802,80.649151172434
75,"El Rayo","La Palestina 2",1155610,1120728,907,0,0,-75.6729121908589,5.68623000182818,59.8791604329283,80.6279036528708
76,"El Rayo","La Aguadita",1154999,1121005,1040,1.4,1041.4,-75.678420144913,5.68874749919012,63.9991846563636,83.452791980777
77,"El Rayo","El Ciruelo 1",1155212,1121007,1013,6,1019,-75.6764978605812,5.68876091446794,63.2925396997256,83.2797012352779
78,"El Rayo","El Ciruelo 2",1155254,1121051,918,0,918,-75.6761178644604,5.68915775738528,63.452962959733,83.5844938195918
79,"El Rayo","El Ciruelo 3",1155310,1120998,998,14,1012,-75.675613646964,5.68867740532499,62.8859590099755,83.1188527579944
80,"El Rayo","Los Vallejos",1155368,1121041,1003,2.3,1005.3,-75.6750892787527,5.68906485644008,62.9809576893492,83.4042354581377
81,"Pescadero","El Ciruelo 4",1155253,1121236,985,7,992,-75.6761228395951,5.69083019402033,64.7642858466734,85.0329177988671
82,"Pescadero","Betancur 1",1155206,1121188,1009,3,1012,-75.6765480477611,5.69039730067719,64.5805781943768,84.6907435004118
83,"Pescadero","Betancur 2",1155085,1121238,1008,6,1014,-75.6776389343581,5.69085195640103,65.3301754869135,85.1597326926799
84,"Pescadero","La Bejuca 1",1154545,1120871,1068,2.4,1070.4,-75.6825202391031,5.68754604677192,64.5514123340033,82.869284524261
85,"Pescadero","La Bejuca 2",1154630,1121149,1048,5.8,1053.8,-75.6817470883964,5.6900573400814,66.1185611768668,84.7936381275831
86,"Pescadero","La Bejuca 3",1154639,1121280,1063,4.1,1067.1,-75.6816630101706,5.69124139673091,66.9730597801423,85.7361652862065
87,"Pescadero","La Bejuca 4",1154912,1121458,1047,6,1053,-75.6791953905119,5.692844564042,67.4148163078485,86.9223727245874
88,"Pescadero","El Picacho",1154333,1121861,965,0,965,-75.6844119064616,5.69650037875554,71.7396709026233,89.9660836716442
89,"Pescadero","La Cañada",1154242,1121400,940,0,940,-75.685243192071,5.69233487165558,68.8448996331647,86.7691521877221
90,"El Líbano","La Iglesia",1155552,1122899,834,7.1,841.1,-75.6733879506102,5.70585726103196,77.1585201369228,98.4576454969975
91,"El Líbano","El Carbón 1",1156127,1122665,801,5,806,-75.6682038293359,5.70372919987423,73.718111689016,97.1415683859081
92,"El Líbano","El Carbón 2",1156117,1122690,792,4,796,-75.6682935257216,5.70395542201893,73.977286222893,97.3513420303968
93,"El Líbano","La Arcadia",1156187,1123351,759,0,759,-75.6676471897077,5.70992934170481,80.1760091315062,103.231638406881
